date,price,7_day_avg,monthly_change
2023-03-08 00:00:00,22217.209884905325,,
2023-03-09 00:00:00,21712.65119391273,,
2023-03-10 00:00:00,20376.320007428807,,
2023-03-11 00:00:00,20195.2289502733,,
2023-03-12 00:00:00,20521.55615175117,,
2023-03-13 00:00:00,22095.71339833569,,
2023-03-14 00:00:00,24178.95532797469,21613.947844940245,
2023-03-15 00:00:00,24758.765085827567,21977.02715935771,
2023-03-16 00:00:00,24470.88205445031,22371.060139434503,
2023-03-17 00:00:00,25161.272017520052,23054.62471230468,
2023-03-18 00:00:00,27466.677829829863,24093.403123669905,
2023-03-19 00:00:00,27107.792183504385,25034.293985348933,
2023-03-20 00:00:00,28186.842652360127,25904.455307352426,
2023-03-21 00:00:00,27929.167733140293,26440.199936661804,
2023-03-22 00:00:00,28264.23961052235,26940.9820116182,
2023-03-23 00:00:00,27449.254830807356,27366.463836812058,
2023-03-24 00:00:00,28459.735113552502,27837.67285053098,
2023-03-25 00:00:00,27595.4947483755,27856.075267466073,
2023-03-26 00:00:00,27670.199498496833,27936.419169607852,
2023-03-27 00:00:00,28048.46997853496,27916.651644775684,
2023-03-28 00:00:00,27182.299559950465,27809.956191462854,
2023-03-29 00:00:00,27291.3500210497,27670.971964395332,
2023-03-30 00:00:00,28394.997780199057,27806.078100022718,
2023-03-31 00:00:00,28041.123080088284,27746.276380956402,
2023-04-01 00:00:00,28516.784729688636,27877.889235429706,
2023-04-02 00:00:00,28498.94463304862,27996.281397508534,
2023-04-03 00:00:00,28236.508738939792,28023.144077566365,
2023-04-04 00:00:00,27815.42653124798,28113.590787751724,
2023-04-05 00:00:00,28175.33033421539,28239.873689632535,
2023-04-06 00:00:00,28197.20034124555,28211.61691263918,
2023-04-07 00:00:00,28042.9833864884,28211.882670696337,0.26221895241405546
2023-04-08 00:00:00,27934.43871284895,28128.69038257638,0.28655125822131455
2023-04-09 00:00:00,27968.12804705512,28052.85944172017,0.3725799377345118
2023-04-10 00:00:00,28351.23699385011,28069.249192421645,0.4038581619282131
2023-04-11 00:00:00,29657.974136873556,28332.47027893958,0.44521077824513533
2023-04-12 00:00:00,30260.93610940865,28630.41396111005,0.3695387681706619
2023-04-13 00:00:00,29904.138694718906,28874.262297320525,0.23678373565297361
2023-04-14 00:00:00,30405.027312781145,29211.697143933776,0.228051044039576
2023-04-15 00:00:00,30468.40870059078,29573.692856468326,0.24508829035240054
2023-04-16 00:00:00,30312.16187965924,29908.554832554626,0.20471500242724505
2023-04-17 00:00:00,30304.807514785844,30187.636335545445,0.1033299222621551
2023-04-18 00:00:00,29467.459829260344,30160.42000588641,0.08704757767738314
2023-04-19 00:00:00,30365.904167541412,30175.41544276252,0.07730775461645512
2023-04-20 00:00:00,28833.217501221105,30022.42670083427,0.03236937730185496
2023-04-21 00:00:00,28255.57824866478,29715.362548817648,-0.0003064424154664014
2023-04-22 00:00:00,27300.157128515566,29262.75518137833,-0.0054317577366236325
2023-04-23 00:00:00,27861.640663476548,28912.680721923658,-0.02101546088498707
2023-04-24 00:00:00,27606.578347653143,28527.21941233327,0.0004016452460340325
2023-04-25 00:00:00,27511.635682161308,28247.815962747696,-0.005730490535282851
2023-04-26 00:00:00,28351.218248373007,27960.003688580782,0.010793753458557154
2023-04-27 00:00:00,28352.19132059668,27891.28566277729,0.043038734013876256
2023-04-28 00:00:00,29483.52170499186,28066.7061565383,0.08032477991199949
2023-04-29 00:00:00,29339.99499754935,28358.111566400272,0.03328041173538243
