date,price,7_day_avg,monthly_change
2013-04-28 00:00:00.000,135.3,,
2013-04-29 00:00:00.000,141.96,,
2013-04-30 00:00:00.000,135.3,,
2013-05-01 00:00:00.000,117.0,,
2013-05-02 00:00:00.000,103.43,,
2013-05-03 00:00:00.000,91.01,,
2013-05-04 00:00:00.000,111.25,119.32142857142857,
2013-05-05 00:00:00.000,116.79,116.67714285714287,
2013-05-06 00:00:00.000,118.33,113.30142857142857,
2013-05-07 00:00:00.000,106.4,109.17285714285715,
2013-05-08 00:00:00.000,112.64,108.55,
2013-05-09 00:00:00.000,113.0,109.91714285714286,
2013-05-10 00:00:00.000,118.78,113.88428571428572,
2013-05-11 00:00:00.000,113.01,114.13571428571429,
2013-05-12 00:00:00.000,114.713,113.83899999999998,
2013-05-13 00:00:00.000,117.18,113.6747142857143,
2013-05-14 00:00:00.000,114.5,114.83185714285715,
2013-05-15 00:00:00.000,114.156,115.04842857142856,
2013-05-16 00:00:00.000,115.5,115.40557142857142,
2013-05-17 00:00:00.000,123.1,116.02271428571429,
2013-05-18 00:00:00.000,123.88,117.57557142857142,
2013-05-19 00:00:00.000,120.501,118.40242857142857,
2013-05-20 00:00:00.000,122.58,119.17385714285714,
2013-05-21 00:00:00.000,122.9,120.37385714285713,
2013-05-22 00:00:00.000,123.0,121.63728571428571,
2013-05-23 00:00:00.000,125.748,123.10128571428572,
2013-05-24 00:00:00.000,131.7,124.32985714285714,
2013-05-25 00:00:00.000,130.77,125.31414285714287,
2013-05-26 00:00:00.000,134.6,127.32828571428571,
2013-05-27 00:00:00.000,128.985,128.24328571428572,
2013-05-28 00:00:00.000,129.179,129.14028571428574,-0.045240206947524064
2013-05-29 00:00:00.000,132.13,130.44457142857144,-0.06924485770639621
2013-05-30 00:00:00.000,127.401,130.6807142857143,-0.05838137472283822
2013-05-31 00:00:00.000,127.98,130.14928571428572,0.09384615384615391
2013-06-01 00:00:00.000,129.09,129.90928571428572,0.24809049598762445
2013-06-02 00:00:00.000,121.3,128.0092857142857,0.3328205691682231
2013-06-03 00:00:00.000,121.16,126.89142857142856,0.0890786516853932
2013-06-05 00:00:00.000,121.309,125.76714285714286,0.03869338128264399
2013-06-06 00:00:00.000,121.714,124.27914285714284,0.028597988675737263
2013-06-07 00:00:00.000,119.0,123.079,0.11842105263157898
2013-06-08 00:00:00.000,110.09,120.52328571428572,-0.022638494318181768
2013-06-09 00:00:00.000,108.401,117.56771428571427,-0.040699115044247836
2013-06-10 00:00:00.000,99.7497,114.48910000000001,-0.1602146826064994
2013-06-11 00:00:00.000,105.99,112.32195714285714,-0.06211839660207075
2013-06-12 00:00:00.000,108.9,110.54924285714286,-0.050674291492681656
2013-06-13 00:00:00.000,108.4,108.64724285714286,-0.07492746202423617
2013-06-14 00:00:00.000,102.769,106.32852857142858,-0.10245414847161571
2013-06-15 00:00:00.000,98.399,104.65838571428571,-0.13803041452048082
2013-06-16 00:00:00.000,99.99,103.45681428571429,-0.13428571428571434
2013-06-17 00:00:00.000,100.42,103.55257142857143,-0.18424045491470342
2013-06-18 00:00:00.000,102.0,102.98257142857142,-0.17662253793994187
2013-06-19 00:00:00.000,106.55,102.64685714285714,-0.11577497282180238
2013-06-20 00:00:00.000,107.9,102.57542857142857,-0.11975852504486861
2013-06-21 00:00:00.000,110.91,103.73842857142857,-0.09755899104963395
2013-06-22 00:00:00.000,109.015,105.255,-0.11369918699186987
2013-06-23 00:00:00.000,107.25,106.29214285714285,-0.147103731272068
2013-06-24 00:00:00.000,108.0,107.375,-0.17995444191343957
2013-06-25 00:00:00.000,102.443,107.43828571428571,-0.2166169610766996
2013-06-26 00:00:00.000,103.691,107.02985714285714,-0.2296359583952451
2013-06-27 00:00:00.000,103.39,106.38557142857142,-0.19843392642555346
2013-06-28 00:00:00.000,99.66,104.77842857142858,-0.22851237430232474
2013-06-29 00:00:00.000,93.3311,102.53787142857144,-0.2936418678574131
2013-06-30 00:00:00.000,95.3886,100.84338571428573,-0.2512727529611227
2013-07-01 00:00:00.000,97.504,99.34395714285714,-0.23813095796218153
2013-07-02 00:00:00.000,89.489,97.49338571428572,-0.3067704702145789
2013-07-03 00:00:00.000,90.797,95.65138571428572,-0.25146743610882116
2013-07-04 00:00:00.000,78.8,92.13852857142857,-0.3496203367448003
2013-07-05 00:00:00.000,78.48,89.1128142857143,-0.3530570691374918
2013-07-06 00:00:00.000,67.809,85.46679999999999,-0.4428824950293311
2013-07-07 00:00:00.000,68.0831,81.56601428571427,-0.4278731092436975
2013-07-08 00:00:00.000,77.502,78.70858571428572,-0.29601235352893096
2013-07-09 00:00:00.000,76.3915,76.83751428571428,-0.29528786634809645
2013-07-10 00:00:00.000,77.0,74.86651428571429,-0.22806785383815698
2013-07-11 00:00:00.000,85.75,75.85937142857142,-0.19096141145391066
2013-07-12 00:00:00.000,93.804,78.04851428571429,-0.1386225895316805
2013-07-13 00:00:00.000,88.0622,80.94182857142857,-0.1876180811808118
2013-07-14 00:00:00.000,95.58,84.86995714285715,-0.0699530013914702
2013-07-15 00:00:00.000,94.0,87.2268142857143,-0.044705738879460166
2013-07-16 00:00:00.000,97.301,90.21388571428572,-0.02689268926892685
2013-07-17 00:00:00.000,98.9796,93.35382857142858,-0.01434375622385975
2013-07-18 00:00:00.000,97.8,95.07525714285714,-0.04117647058823537
2013-07-19 00:00:00.000,88.7869,94.35852857142858,-0.1667114030971375
2013-07-20 00:00:00.000,91.572,94.85992857142858,-0.15132530120481935
2013-07-21 00:00:00.000,89.28,93.95992857142858,-0.19502299161482284
